课次,大组主题,小组,序号,单词,词性,释义,认识(打✓),不认识(打✗),备注
第5课,自然与环境,自然景观,17,sea,n.,海,,,
第5课,自然与环境,自然景观,18,ocean,n.,海洋,,,
第5课,自然与环境,自然景观,19,hill,n.,小山,,,
第5课,自然与环境,自然景观,20,valley,n.,山谷,,,
第5课,自然与环境,动物,1,animal,n.,动物,,,
第5课,自然与环境,动物,2,pet,n.,宠物,,,
第5课,自然与环境,动物,3,dog,n.,狗,,,
第5课,自然与环境,动物,4,cat,n.,猫,,,
第5课,自然与环境,动物,5,bird,n.,鸟,,,
第5课,自然与环境,动物,6,horse,n.,马,,,
第5课,自然与环境,动物,7,cow,n.,奶牛,,,
第5课,自然与环境,动物,8,sheep,n.,绵羊,,,
第5课,自然与环境,动物,9,pig,n.,猪,,,
第5课,自然与环境,动物,10,rabbit,n.,兔子,,,
第5课,自然与环境,动物,11,tiger,n.,老虎,,,
第5课,自然与环境,动物,12,lion,n.,狮子,,,
第5课,自然与环境,动物,13,elephant,n.,大象,,,
第5课,自然与环境,动物,14,monkey,n.,猴子,,,
第5课,自然与环境,动物,15,panda,n.,熊猫,,,
第5课,自然与环境,动物,16,bear,n.,熊,,,
第5课,自然与环境,动物,17,snake,n.,蛇,,,
第5课,自然与环境,动物,18,insect,n.,昆虫,,,
第5课,自然与环境,动物,19,wolf,n.,狼,,,
第5课,自然与环境,动物,20,dinosaur,n.,恐龙,,,
第5课,自然与环境,植物与农业,1,plant,n.,植物,,,
第5课,自然与环境,植物与农业,2,tree,n.,树,,,
第5课,自然与环境,植物与农业,3,flower,n.,花,,,
第5课,自然与环境,植物与农业,4,grass,n.,草,,,
第5课,自然与环境,植物与农业,5,leaf,n.,叶子,,,
第5课,自然与环境,植物与农业,6,root,n.,根,,,
第5课,自然与环境,植物与农业,7,seed,n.,种子,,,
第5课,自然与环境,植物与农业,8,forest,n.,森林,,,
第5课,自然与环境,植物与农业,9,wood,n.,木头,,,
第5课,自然与环境,植物与农业,10,branch,n.,树枝,,,
第5课,自然与环境,植物与农业,11,bamboo,n.,竹子,,,
第5课,自然与环境,植物与农业,12,farm,n.,农场,,,
第5课,自然与环境,植物与农业,13,farmer,n.,农民,,,
第5课,自然与环境,植物与农业,14,field,n.,田地,,,
第5课,自然与环境,植物与农业,15,soil,n.,土壤,,,
第5课,自然与环境,植物与农业,16,crop,n.,庄稼,,,
第5课,自然与环境,植物与农业,17,grow,v.,种植/生长,,,
第5课,自然与环境,植物与农业,18,harvest,v.,收割,,,
第5课,自然与环境,植物与农业,19,wild,adj.,野生的,,,
第5课,自然与环境,植物与农业,20,natural,adj.,自然的,,,
第5课,自然与环境,环境保护,1,environment,n.,环境,,,
第5课,自然与环境,环境保护,2,pollution,n.,污染,,,
第5课,自然与环境,环境保护,3,protect,v.,保护,,,
第5课,自然与环境,环境保护,4,save,v.,节约,,,
第5课,自然与环境,环境保护,5,waste,v.,浪费,,,
第5课,自然与环境,环境保护,6,recycle,v.,回收,,,
第5课,自然与环境,环境保护,7,reuse,v.,再利用,,,
第5课,自然与环境,环境保护,8,reduce,v.,减少,,,
第5课,自然与环境,环境保护,9,energy,n.,能源,,,
第5课,自然与环境,环境保护,10,resource,n.,资源,,,
第5课,自然与环境,环境保护,11,climate,n.,气候,,,
第5课,自然与环境,环境保护,12,change,v.,改变,,,
第5课,自然与环境,环境保护,13,global,adj.,全球的,,,
第5课,自然与环境,环境保护,14,green,adj.,绿色的,,,
第5课,自然与环境,环境保护,15,clean,adj.,干净的,,,
第5课,自然与环境,环境保护,16,dirty,adj.,脏的,,,
第5课,自然与环境,环境保护,17,rubbish,n.,垃圾,,,
第5课,自然与环境,环境保护,18,litter,n.,废弃物,,,
第5课,自然与环境,环境保护,19,plastic,n.,塑料,,,
第5课,自然与环境,环境保护,20,carbon,n.,碳,,,
第5课,自然与环境,灾害与安全,1,fire,n.,火,,,
第5课,自然与环境,灾害与安全,2,flood,n.,洪水,,,
第5课,自然与环境,灾害与安全,3,earthquake,n.,地震,,,
第5课,自然与环境,灾害与安全,4,typhoon,n.,台风,,,
第5课,自然与环境,灾害与安全,5,drought,n.,干旱,,,
第5课,自然与环境,灾害与安全,6,accident,n.,事故,,,
第5课,自然与环境,灾害与安全,7,danger,n.,危险,,,
第5课,自然与环境,灾害与安全,8,dangerous,adj.,危险的,,,
第5课,自然与环境,灾害与安全,9,safe,adj.,安全的,,,
第5课,自然与环境,灾害与安全,10,safety,n.,安全,,,
第5课,自然与环境,灾害与安全,11,risk,n.,风险,,,
第5课,自然与环境,灾害与安全,12,rescue,v.,营救,,,
第5课,自然与环境,灾害与安全,13,escape,v.,逃跑,,,
第5课,自然与环境,灾害与安全,14,hide,v.,躲藏,,,
第5课,自然与环境,灾害与安全,15,hurt,v.,受伤,,,
第5课,自然与环境,灾害与安全,16,injure,v.,伤害,,,
第5课,自然与环境,灾害与安全,17,injury,n.,伤害,,,
第5课,自然与环境,灾害与安全,18,damage,v.,损坏,,,
第5课,自然与环境,灾害与安全,19,prevent,v.,预防,,,
第5课,自然与环境,灾害与安全,20,guard,v.,守卫,,,
第6课,情感与性格,正面情感,1,happy,adj.,快乐的,,,
第6课,情感与性格,正面情感,2,glad,adj.,高兴的,,,
第6课,情感与性格,正面情感,3,pleased,adj.,满意的,,,
第6课,情感与性格,正面情感,4,excited,adj.,兴奋的,,,
第6课,情感与性格,正面情感,5,proud,adj.,自豪的,,,
第6课,情感与性格,正面情感,6,confident,adj.,自信的,,,
第6课,情感与性格,正面情感,7,satisfied,adj.,满足的,,,
第6课,情感与性格,正面情感,8,thankful,adj.,感激的,,,
第6课,情感与性格,正面情感,9,grateful,adj.,感恩的,,,
第6课,情感与性格,正面情感,10,hopeful,adj.,有希望的,,,
第6课,情感与性格,正面情感,11,cheerful,adj.,快乐的,,,
第6课,情感与性格,正面情感,12,lucky,adj.,幸运的,,,
第6课,情感与性格,正面情感,13,comfortable,adj.,舒服的,,,
第6课,情感与性格,正面情感,14,relaxed,adj.,放松的,,,
第6课,情感与性格,正面情感,15,surprised,adj.,惊讶的,,,
第6课,情感与性格,正面情感,16,amazed,adj.,惊奇的,,,
第6课,情感与性格,正面情感,17,interested,adj.,感兴趣的,,,
第6课,情感与性格,正面情感,18,wonderful,adj.,极好的,,,
第6课,情感与性格,正面情感,19,pleasant,adj.,令人愉快的,,,
第6课,情感与性格,正面情感,20,joy,n.,欢乐,,,
第6课,情感与性格,负面情感,1,sad,adj.,悲伤的,,,
第6课,情感与性格,负面情感,2,unhappy,adj.,不开心的,,,
第6课,情感与性格,负面情感,3,angry,adj.,生气的,,,
第6课,情感与性格,负面情感,4,mad,adj.,发疯的,,,
第6课,情感与性格,负面情感,5,nervous,adj.,紧张的,,,
第6课,情感与性格,负面情感,6,worried,adj.,担心的,,,
第6课,情感与性格,负面情感,7,afraid,adj.,害怕的,,,
第6课,情感与性格,负面情感,8,scared,adj.,受惊的,,,
第6课,情感与性格,负面情感,9,frightened,adj.,惊吓的,,,
第6课,情感与性格,负面情感,10,bored,adj.,无聊的,,,
第6课,情感与性格,负面情感,11,tired,adj.,累的,,,
第6课,情感与性格,负面情感,12,lonely,adj.,孤独的,,,
第6课,情感与性格,负面情感,13,upset,adj.,难过的,,,
第6课,情感与性格,负面情感,14,disappointed,adj.,失望的,,,
第6课,情感与性格,负面情感,15,embarrassed,adj.,尴尬的,,,
第6课,情感与性格,负面情感,16,anxious,adj.,焦虑的,,,
第6课,情感与性格,负面情感,17,stressed,adj.,压力大的,,,
第6课,情感与性格,负面情感,18,painful,adj.,痛苦的,,,
第6课,情感与性格,负面情感,19,regret,v.,后悔,,,
第6课,情感与性格,负面情感,20,fear,n.,恐惧,,,
第6课,情感与性格,性格品质,1,kind,adj.,善良的,,,
第6课,情感与性格,性格品质,2,friendly,adj.,友好的,,,
第6课,情感与性格,性格品质,3,honest,adj.,诚实的,,,
第6课,情感与性格,性格品质,4,brave,adj.,勇敢的,,,
第6课,情感与性格,性格品质,5,careful,adj.,细心的,,,
第6课,情感与性格,性格品质,6,careless,adj.,粗心的,,,
第6课,情感与性格,性格品质,7,patient,adj.,耐心的,,,
第6课,情感与性格,性格品质,8,generous,adj.,慷慨的,,,
第6课,情感与性格,性格品质,9,polite,adj.,礼貌的,,,
第6课,情感与性格,性格品质,10,rude,adj.,粗鲁的,,,
第6课,情感与性格,性格品质,11,lazy,adj.,懒惰的,,,
第6课,情感与性格,性格品质,12,hardworking,adj.,勤奋的,,,
第6课,情感与性格,性格品质,13,serious,adj.,严肃的,,,
第6课,情感与性格,性格品质,14,funny,adj.,有趣的,,,
第6课,情感与性格,性格品质,15,humorous,adj.,幽默的,,,
第6课,情感与性格,性格品质,16,creative,adj.,有创造力的,,,
第6课,情感与性格,性格品质,17,smart,adj.,聪明的,,,
第6课,情感与性格,性格品质,18,clever,adj.,机灵的,,,
第6课,情感与性格,性格品质,19,wise,adj.,明智的,,,
第6课,情感与性格,性格品质,20,foolish,adj.,愚蠢的,,,
第6课,情感与性格,外貌与状态,1,tall,adj.,高的,,,
第6课,情感与性格,外貌与状态,2,short,adj.,矮的,,,
第6课,情感与性格,外貌与状态,3,thin,adj.,瘦的,,,
第6课,情感与性格,外貌与状态,4,heavy,adj.,重的,,,
第6课,情感与性格,外貌与状态,5,fat,adj.,胖的,,,
第6课,情感与性格,外貌与状态,6,strong,adj.,强壮的,,,
第6课,情感与性格,外貌与状态,7,weak,adj.,虚弱的,,,
第6课,情感与性格,外貌与状态,8,young,adj.,年轻的,,,
第6课,情感与性格,外貌与状态,9,old,adj.,年老的,,,
第6课,情感与性格,外貌与状态,10,beautiful,adj.,美丽的,,,
第6课,情感与性格,外貌与状态,11,pretty,adj.,漂亮的,,,
第6课,情感与性格,外貌与状态,12,handsome,adj.,英俊的,,,
第6课,情感与性格,外貌与状态,13,ugly,adj.,丑陋的,,,
第6课,情感与性格,外貌与状态,14,active,adj.,活跃的,,,
第6课,情感与性格,外貌与状态,15,calm,adj.,冷静的,,,
第6课,情感与性格,外貌与状态,16,quiet,adj.,安静的,,,
第6课,情感与性格,外貌与状态,17,noisy,adj.,吵闹的,,,
第6课,情感与性格,外貌与状态,18,shy,adj.,害羞的,,,
第6课,情感与性格,外貌与状态,19,outgoing,adj.,外向的,,,
第6课,情感与性格,外貌与状态,20,gentle,adj.,温柔的,,,
第6课,情感与性格,程度与方式副词,1,very,adv.,非常,,,
第6课,情感与性格,程度与方式副词,2,quite,adv.,相当,,,
第6课,情感与性格,程度与方式副词,3,really,adv.,真正地,,,
第6课,情感与性格,程度与方式副词,4,truly,adv.,真诚地,,,
第6课,情感与性格,程度与方式副词,5,almost,adv.,几乎,,,
第6课,情感与性格,程度与方式副词,6,nearly,adv.,将近,,,
第6课,情感与性格,程度与方式副词,7,hardly,adv.,几乎不,,,
第6课,情感与性格,程度与方式副词,8,extremely,adv.,极其,,,
第6课,情感与性格,程度与方式副词,9,especially,adv.,尤其,,,
第6课,情感与性格,程度与方式副词,10,particularly,adv.,特别地,,,
第6课,情感与性格,程度与方式副词,11,completely,adv.,完全地,,,
第6课,情感与性格,程度与方式副词,12,totally,adv.,完全,,,
第6课,情感与性格,程度与方式副词,13,finally,adv.,最后,,,
第6课,情感与性格,程度与方式副词,14,suddenly,adv.,突然,,,
第6课,情感与性格,程度与方式副词,15,quickly,adv.,快速地,,,
第6课,情感与性格,程度与方式副词,16,slowly,adv.,缓慢地,,,
第6课,情感与性格,程度与方式副词,17,loudly,adv.,大声地,,,
第6课,情感与性格,程度与方式副词,18,softly,adv.,轻轻地,,,
第6课,情感与性格,程度与方式副词,19,easily,adv.,容易地,,,
第6课,情感与性格,程度与方式副词,20,probably,adv.,可能,,,
第7课,动作与行为动词,身体动作,1,walk,v.,步行,,,
第7课,动作与行为动词,身体动作,2,run,v.,奔跑,,,
第7课,动作与行为动词,身体动作,3,jump,v.,跳跃,,,
第7课,动作与行为动词,身体动作,4,climb,v.,攀爬,,,
第7课,动作与行为动词,身体动作,5,swim,v.,游泳,,,
第7课,动作与行为动词,身体动作,6,fly,v.,飞,,,
第7课,动作与行为动词,身体动作,7,dance,v.,跳舞,,,
第7课,动作与行为动词,身体动作,8,sing,v.,唱歌,,,
第7课,动作与行为动词,身体动作,9,draw,v.,画画,,,
第7课,动作与行为动词,身体动作,10,paint,v.,涂色,,,
第7课,动作与行为动词,身体动作,11,cut,v.,切,,,
第7课,动作与行为动词,身体动作,12,push,v.,推,,,
第7课,动作与行为动词,身体动作,13,pull,v.,拉,,,
第7课,动作与行为动词,身体动作,14,carry,v.,搬运,,,
第7课,动作与行为动词,身体动作,15,lift,v.,举起,,,
第7课,动作与行为动词,身体动作,16,throw,v.,扔,,,
第7课,动作与行为动词,身体动作,17,catch,v.,接住,,,
第7课,动作与行为动词,身体动作,18,kick,v.,踢,,,
第7课,动作与行为动词,身体动作,19,hit,v.,打,,,
第7课,动作与行为动词,身体动作,20,knock,v.,敲,,,
第7课,动作与行为动词,手部操作动词,1,take,v.,拿/带,,,
第7课,动作与行为动词,手部操作动词,2,put,v.,放,,,
第7课,动作与行为动词,手部操作动词,3,give,v.,给,,,
第7课,动作与行为动词,手部操作动词,4,bring,v.,带来,,,
第7课,动作与行为动词,手部操作动词,5,send,v.,发送,,,
第7课,动作与行为动词,手部操作动词,6,receive,v.,收到,,,
第7课,动作与行为动词,手部操作动词,7,collect,v.,收集,,,
第7课,动作与行为动词,手部操作动词,8,pick,v.,捡起,,,
第7课,动作与行为动词,手部操作动词,9,choose,v.,选择,,,
第7课,动作与行为动词,手部操作动词,10,select,v.,挑选,,,
第7课,动作与行为动词,手部操作动词,11,use,v.,使用,,,
第7课,动作与行为动词,手部操作动词,12,make,v.,制作,,,
第7课,动作与行为动词,手部操作动词,13,build,v.,建造,,,
第7课,动作与行为动词,手部操作动词,14,create,v.,创造,,,
第7课,动作与行为动词,手部操作动词,15,produce,v.,生产,,,
第7课,动作与行为动词,手部操作动词,16,repair,v.,修理,,,
第7课,动作与行为动词,手部操作动词,17,fix,v.,修复,,,
第7课,动作与行为动词,手部操作动词,18,break,v.,打破,,,
第7课,动作与行为动词,手部操作动词,19,open,v.,打开,,,
第7课,动作与行为动词,手部操作动词,20,close,v.,关闭,,,
第7课,动作与行为动词,感官与认知动词,1,see,v.,看见,,,
第7课,动作与行为动词,感官与认知动词,2,look,v.,看,,,
第7课,动作与行为动词,感官与认知动词,3,watch,v.,观看,,,
第7课,动作与行为动词,感官与认知动词,4,observe,v.,观察,,,
第7课,动作与行为动词,感官与认知动词,5,hear,v.,听见,,,
第7课,动作与行为动词,感官与认知动词,6,stare,v.,凝视,,,
第7课,动作与行为动词,感官与认知动词,7,feel,v.,感觉,,,
第7课,动作与行为动词,感官与认知动词,8,touch,v.,触摸,,,
第7课,动作与行为动词,感官与认知动词,9,sense,v.,感觉到,,,
第7课,动作与行为动词,感官与认知动词,10,know,v.,知道,,,
第7课,动作与行为动词,感官与认知动词,11,think,v.,思考,,,
第7课,动作与行为动词,感官与认知动词,12,remember,v.,记得,,,
第7课,动作与行为动词,感官与认知动词,13,forget,v.,忘记,,,
第7课,动作与行为动词,感官与认知动词,14,realize,v.,意识到,,,
第7课,动作与行为动词,感官与认知动词,15,imagine,v.,想象,,,
第7课,动作与行为动词,感官与认知动词,16,wonder,v.,想知道,,,
第7课,动作与行为动词,感官与认知动词,17,guess,v.,猜,,,
第7课,动作与行为动词,感官与认知动词,18,decide,v.,决定,,,
第7课,动作与行为动词,感官与认知动词,19,mean,v.,意思是,,,
第7课,动作与行为动词,感官与认知动词,20,recognize,v.,认出,,,
第7课,动作与行为动词,心理与情感动词,1,love,v.,爱,,,
第7课,动作与行为动词,心理与情感动词,2,like,v.,喜欢,,,
第7课,动作与行为动词,心理与情感动词,3,hate,v.,讨厌,,,
第7课,动作与行为动词,心理与情感动词,4,enjoy,v.,享受,,,
第7课,动作与行为动词,心理与情感动词,5,prefer,v.,更喜欢,,,
第7课,动作与行为动词,心理与情感动词,6,hope,v.,希望,,,
第7课,动作与行为动词,心理与情感动词,7,wish,v.,祝愿,,,
第7课,动作与行为动词,心理与情感动词,8,want,v.,想要,,,
第7课,动作与行为动词,心理与情感动词,9,need,v.,需要,,,
第7课,动作与行为动词,心理与情感动词,10,care,v.,在乎,,,
第7课,动作与行为动词,心理与情感动词,11,worry,v.,担心,,,
第7课,动作与行为动词,心理与情感动词,12,surprise,v.,使惊讶,,,
第7课,动作与行为动词,心理与情感动词,13,interest,v.,使感兴趣,,,
第7课,动作与行为动词,心理与情感动词,14,excite,v.,使兴奋,,,
第7课,动作与行为动词,心理与情感动词,15,satisfy,v.,使满意,,,
第7课,动作与行为动词,心理与情感动词,16,disappoint,v.,使失望,,,
第7课,动作与行为动词,心理与情感动词,17,frighten,v.,使惊吓,,,
第7课,动作与行为动词,心理与情感动词,18,bore,v.,使无聊,,,
第7课,动作与行为动词,心理与情感动词,19,relax,v.,放松,,,
第7课,动作与行为动词,心理与情感动词,20,annoy,v.,使恼怒,,,
第7课,动作与行为动词,变化与状态动词,1,become,v.,变得,,,
第7课,动作与行为动词,变化与状态动词,2,turn,v.,变成,,,
第7课,动作与行为动词,变化与状态动词,3,remain,v.,保持,,,
第7课,动作与行为动词,变化与状态动词,4,stay,v.,停留,,,
第7课,动作与行为动词,变化与状态动词,5,seem,v.,似乎,,,
第7课,动作与行为动词,变化与状态动词,6,appear,v.,出现,,,
第7课,动作与行为动词,变化与状态动词,7,happen,v.,发生,,,
第7课,动作与行为动词,变化与状态动词,8,occur,v.,发生,,,
第7课,动作与行为动词,变化与状态动词,9,cause,v.,引起,,,
第7课,动作与行为动词,变化与状态动词,10,start,v.,开始,,,
第7课,动作与行为动词,变化与状态动词,11,begin,v.,开始,,,
第7课,动作与行为动词,变化与状态动词,12,end,v.,结束,,,
第7课,动作与行为动词,变化与状态动词,13,stop,v.,停止,,,
第7课,动作与行为动词,变化与状态动词,14,continue,v.,继续,,,
第7课,动作与行为动词,变化与状态动词,15,last,v.,持续,,,
第7课,动作与行为动词,变化与状态动词,16,rise,v.,上升,,,
第7课,动作与行为动词,变化与状态动词,17,fall,v.,落下,,,
第7课,动作与行为动词,变化与状态动词,18,increase,v.,增加,,,
第7课,动作与行为动词,变化与状态动词,19,decrease,v.,减少,,,
第7课,动作与行为动词,变化与状态动词,20,develop,v.,发展,,,
第8课,时间与功能词,时间单位,1,time,n.,时间,,,
第8课,时间与功能词,时间单位,2,year,n.,年,,,
第8课,时间与功能词,时间单位,3,month,n.,月,,,
第8课,时间与功能词,时间单位,4,week,n.,周,,,
第8课,时间与功能词,时间单位,5,day,n.,天,,,
第8课,时间与功能词,时间单位,6,hour,n.,小时,,,
第8课,时间与功能词,时间单位,7,minute,n.,分钟,,,
第8课,时间与功能词,时间单位,8,second,n.,秒,,,
第8课,时间与功能词,时间单位,9,morning,n.,早晨,,,
第8课,时间与功能词,时间单位,10,afternoon,n.,下午,,,
第8课,时间与功能词,时间单位,11,evening,n.,晚上,,,
第8课,时间与功能词,时间单位,12,night,n.,夜晚,,,
第8课,时间与功能词,时间单位,13,today,adv.,今天,,,
第8课,时间与功能词,时间单位,14,tomorrow,adv.,明天,,,
第8课,时间与功能词,时间单位,15,yesterday,adv.,昨天,,,
第8课,时间与功能词,时间单位,16,moment,n.,片刻,,,
第8课,时间与功能词,时间单位,17,period,n.,时期,,,
第8课,时间与功能词,时间单位,18,century,n.,世纪,,,
第8课,时间与功能词,时间单位,19,date,n.,日期,,,
第8课,时间与功能词,时间单位,20,age,n.,年龄,,,
第8课,时间与功能词,时间副词与频率,1,now,adv.,现在,,,
第8课,时间与功能词,时间副词与频率,2,then,adv.,然后,,,
第8课,时间与功能词,时间副词与频率,3,soon,adv.,很快,,,
第8课,时间与功能词,时间副词与频率,4,later,adv.,稍后,,,
第8课,时间与功能词,时间副词与频率,5,early,adv.,早,,,
第8课,时间与功能词,时间副词与频率,6,late,adv.,晚,,,
第8课,时间与功能词,时间副词与频率,7,always,adv.,总是,,,
第8课,时间与功能词,时间副词与频率,8,usually,adv.,通常,,,
第8课,时间与功能词,时间副词与频率,9,often,adv.,经常,,,
第8课,时间与功能词,时间副词与频率,10,sometimes,adv.,有时,,,
第8课,时间与功能词,时间副词与频率,11,again,adv.,再次,,,
第8课,时间与功能词,时间副词与频率,12,already,adv.,已经,,,
第8课,时间与功能词,时间副词与频率,13,yet,adv.,还,,,
第8课,时间与功能词,时间副词与频率,14,still,adv.,仍然,,,
第8课,时间与功能词,时间副词与频率,15,just,adv.,刚刚,,,
第8课,时间与功能词,时间副词与频率,16,ever,adv.,曾经,,,
第8课,时间与功能词,时间副词与频率,17,once,adv.,一次,,,
第8课,时间与功能词,时间副词与频率,18,twice,adv.,两次,,,
第8课,时间与功能词,时间副词与频率,19,immediately,adv.,立即,,,
第8课,时间与功能词,时间副词与频率,20,recently,adv.,最近,,,
第8课,时间与功能词,介词与方位,1,in,prep.,在…里,,,
第8课,时间与功能词,介词与方位,2,on,prep.,在…上,,,
第8课,时间与功能词,介词与方位,3,at,prep.,在…,,,
第8课,时间与功能词,介词与方位,4,under,prep.,在…下,,,
第8课,时间与功能词,介词与方位,5,over,prep.,在…上方,,,
第8课,时间与功能词,介词与方位,6,above,prep.,在…上面,,,
第8课,时间与功能词,介词与方位,7,around,prep.,在…周围,,,
第8课,时间与功能词,介词与方位,8,through,prep.,穿过,,,
第8课,时间与功能词,介词与方位,9,across,prep.,横过,,,
第8课,时间与功能词,介词与方位,10,along,prep.,沿着,,,
第8课,时间与功能词,介词与方位,11,past,prep.,经过,,,
第8课,时间与功能词,介词与方位,12,inside,prep.,在…里面,,,
第8课,时间与功能词,介词与方位,13,outside,prep.,在…外面,,,
第8课,时间与功能词,介词与方位,14,onto,prep.,到…上,,,
第8课,时间与功能词,介词与方位,15,into,prep.,进入,,,
第8课,时间与功能词,介词与方位,16,from,prep.,从,,,
第8课,时间与功能词,介词与方位,17,about,prep.,关于,,,
第8课,时间与功能词,介词与方位,18,with,prep.,和…一起,,,
第8课,时间与功能词,介词与方位,19,without,prep.,没有,,,
第8课,时间与功能词,介词与方位,20,against,prep.,反对,,,
第8课,时间与功能词,连词,1,and,conj.,和,,,
第8课,时间与功能词,连词,2,but,conj.,但是,,,
第8课,时间与功能词,连词,3,or,conj.,或者,,,
第8课,时间与功能词,连词,4,so,conj.,所以,,,
第8课,时间与功能词,连词,5,because,conj.,因为,,,
第8课,时间与功能词,连词,6,although,conj.,虽然,,,
第8课,时间与功能词,连词,7,though,conj.,尽管,,,
第8课,时间与功能词,连词,8,if,conj.,如果,,,
第8课,时间与功能词,连词,9,unless,conj.,除非,,,
第8课,时间与功能词,连词,10,when,conj.,当…时,,,
第8课,时间与功能词,连词,11,while,conj.,当…时,,,
第8课,时间与功能词,连词,12,before,conj.,在…之前,,,
第8课,时间与功能词,连词,13,after,conj.,在…之后,,,
第8课,时间与功能词,连词,14,until,conj.,直到,,,
第8课,时间与功能词,连词,15,as,conj.,因为/当,,,
第8课,时间与功能词,连词,16,since,conj.,自从,,,
第8课,时间与功能词,连词,17,than,conj.,比,,,
第8课,时间与功能词,连词,18,whether,conj.,是否,,,
第8课,时间与功能词,连词,19,which,pron.,哪一个,,,
第8课,时间与功能词,连词,20,who,pron.,谁,,,
第8课,时间与功能词,代词与限定,1,this,pron.,这个,,,
第8课,时间与功能词,代词与限定,2,that,pron.,那个,,,
第8课,时间与功能词,代词与限定,3,these,pron.,这些,,,
第8课,时间与功能词,代词与限定,4,those,pron.,那些,,,
第8课,时间与功能词,代词与限定,5,another,pron.,另一个,,,
第8课,时间与功能词,代词与限定,6,other,adj.,其他的,,,
第8课,时间与功能词,代词与限定,7,others,pron.,其他人,,,
第8课,时间与功能词,代词与限定,8,each,pron.,每个,,,
第8课,时间与功能词,代词与限定,9,every,adj.,每一个,,,
第8课,时间与功能词,代词与限定,10,either,pron.,两者之一,,,
第8课,时间与功能词,代词与限定,11,neither,pron.,两者都不,,,
第8课,时间与功能词,代词与限定,12,both,pron.,两者都,,,
第8课,时间与功能词,代词与限定,13,all,pron.,全部,,,
第8课,时间与功能词,代词与限定,14,some,pron.,一些,,,
第8课,时间与功能词,代词与限定,15,any,pron.,任何,,,
第8课,时间与功能词,代词与限定,16,no,det.,没有,,,
第8课,时间与功能词,代词与限定,17,none,pron.,没有一个,,,
第8课,时间与功能词,代词与限定,18,one,num.,一,,,
第8课,时间与功能词,代词与限定,19,such,adj.,这样的,,,
第8课,时间与功能词,代词与限定,20,several,pron.,几个,,,
第9课,社会与科技,职业与社会,1,job,n.,工作,,,
第9课,社会与科技,职业与社会,2,work,n.,工作,,,
第9课,社会与科技,职业与社会,3,worker,n.,工人,,,
第9课,社会与科技,职业与社会,4,doctor,n.,医生,,,
第9课,社会与科技,职业与社会,5,nurse,n.,护士,,,
第9课,社会与科技,职业与社会,6,driver,n.,司机,,,
第9课,社会与科技,职业与社会,7,engineer,n.,工程师,,,
第9课,社会与科技,职业与社会,8,scientist,n.,科学家,,,
第9课,社会与科技,职业与社会,9,artist,n.,艺术家,,,
第9课,社会与科技,职业与社会,10,actor,n.,男演员,,,
第9课,社会与科技,职业与社会,11,actress,n.,女演员,,,
第9课,社会与科技,职业与社会,12,singer,n.,歌手,,,
第9课,社会与科技,职业与社会,13,writer,n.,作家,,,
第9课,社会与科技,职业与社会,14,manager,n.,经理,,,
第9课,社会与科技,职业与社会,15,boss,n.,老板,,,
第9课,社会与科技,职业与社会,16,clerk,n.,职员,,,
第9课,社会与科技,职业与社会,17,waiter,n.,服务员,,,
第9课,社会与科技,职业与社会,18,cook,n.,厨师,,,
第9课,社会与科技,职业与社会,19,pilot,n.,飞行员,,,
第9课,社会与科技,职业与社会,20,businessman,n.,商人,,,
第9课,社会与科技,科技与网络,1,innovation,n.,创新,,,
第9课,社会与科技,科技与网络,2,technology,n.,技术,,,
第9课,社会与科技,科技与网络,3,machine,n.,机器,,,
第9课,社会与科技,科技与网络,4,robot,n.,机器人,,,
第9课,社会与科技,科技与网络,5,internet,n.,互联网,,,
第9课,社会与科技,科技与网络,6,network,n.,网络,,,
第9课,社会与科技,科技与网络,7,website,n.,网站,,,
第9课,社会与科技,科技与网络,8,email,n.,电子邮件,,,
第9课,社会与科技,科技与网络,9,program,n.,程序,,,
第9课,社会与科技,科技与网络,10,software,n.,软件,,,
第9课,社会与科技,科技与网络,11,phone,n.,电话,,,
第9课,社会与科技,科技与网络,12,mobile,adj.,移动的,,,
第9课,社会与科技,科技与网络,13,video,n.,视频,,,
第9课,社会与科技,科技与网络,14,digital,adj.,数字的,,,
第9课,社会与科技,科技与网络,15,data,n.,数据,,,
第9课,社会与科技,科技与网络,16,keyboard,n.,键盘,,,
第9课,社会与科技,科技与网络,17,mouse,n.,鼠标,,,
第9课,社会与科技,科技与网络,18,app,n.,应用程序,,,
第9课,社会与科技,科技与网络,19,online,adj.,在线的,,,
第9课,社会与科技,科技与网络,20,update,v.,更新,,,
第9课,社会与科技,新闻与媒体,1,topic,n.,话题,,,
第9课,社会与科技,新闻与媒体,2,reporter,n.,记者,,,
第9课,社会与科技,新闻与媒体,3,media,n.,媒体,,,
第9课,社会与科技,新闻与媒体,4,radio,n.,收音机,,,
第9课,社会与科技,新闻与媒体,5,television,n.,电视,,,
第9课,社会与科技,新闻与媒体,6,channel,n.,频道,,,
第9课,社会与科技,新闻与媒体,7,interview,n.,采访,,,
第9课,社会与科技,新闻与媒体,8,story,n.,故事,,,
第9课,社会与科技,新闻与媒体,9,headline,n.,标题,,,
第9课,社会与科技,新闻与媒体,10,advertisement,n.,广告,,,
第9课,社会与科技,新闻与媒体,11,broadcast,v.,广播,,,
