天次,主题,小组,序号,单词,词性,释义,认识(✓),不认识(✗),备注
第8天,动作与状态,动作③,6,catch,v.,抓住,,,
第8天,动作与状态,动作③,7,throw,v.,扔,,,
第8天,动作与状态,动作③,8,kick,v.,踢,,,
第8天,动作与状态,动作③,9,hit,v.,打,,,
第8天,动作与状态,动作③,10,pull,v.,拉,,,
第8天,动作与状态,动作④,1,push,v.,推,,,
第8天,动作与状态,动作④,2,turn,v.,转动,,,
第8天,动作与状态,动作④,3,move,v.,移动,,,
第8天,动作与状态,动作④,4,start,v.,开始,,,
第8天,动作与状态,动作④,5,finish,v.,完成,,,
第8天,动作与状态,动作④,6,begin,v.,开始,,,
第8天,动作与状态,动作④,7,keep,v.,保持,,,
第8天,动作与状态,动作④,8,stay,v.,停留,,,
第8天,动作与状态,动作④,9,join,v.,加入,,,
第8天,动作与状态,动作④,10,meet,v.,遇见,,,
第8天,动作与状态,感官与交流,1,hear,v.,听见,,,
第8天,动作与状态,感官与交流,2,say,v.,说,,,
第8天,动作与状态,感官与交流,3,tell,v.,告诉,,,
第8天,动作与状态,感官与交流,4,talk,v.,交谈,,,
第8天,动作与状态,感官与交流,5,greet,v.,打招呼,,,
第8天,动作与状态,感官与交流,6,call,v.,打电话,,,
第8天,动作与状态,感官与交流,7,smile,v.,微笑,,,
第8天,动作与状态,感官与交流,8,cry,v.,哭,,,
第8天,动作与状态,感官与交流,9,laugh,v.,大笑,,,
第8天,动作与状态,感官与交流,10,shout,v.,喊,,,
第8天,动作与状态,状态与描述,1,be,v.,是,,,
第8天,动作与状态,状态与描述,2,have,v.,有,,,
第8天,动作与状态,状态与描述,3,has,v.,有(三单),,,
第8天,动作与状态,状态与描述,4,do,v.,做,,,
第8天,动作与状态,状态与描述,5,make,v.,做；制作,,,
第8天,动作与状态,状态与描述,6,use,v.,使用,,,
第8天,动作与状态,状态与描述,7,work,v.,工作,,,
第8天,动作与状态,状态与描述,8,rest,v.,休息,,,
第8天,动作与状态,状态与描述,9,ready,adj.,准备好的,,,
第8天,动作与状态,状态与描述,10,busy,adj.,忙的,,,
第9天,形容词与副词,性质形容词①,1,good,adj.,好的,,,
第9天,形容词与副词,性质形容词①,2,bad,adj.,坏的,,,
第9天,形容词与副词,性质形容词①,3,nice,adj.,好的；友善的,,,
第9天,形容词与副词,性质形容词①,4,fine,adj.,好的；晴朗的,,,
第9天,形容词与副词,性质形容词①,5,great,adj.,很棒的,,,
第9天,形容词与副词,性质形容词①,6,wonderful,adj.,精彩的,,,
第9天,形容词与副词,性质形容词①,7,interesting,adj.,有趣的,,,
第9天,形容词与副词,性质形容词①,8,fun,adj./n.,有趣的；乐趣,,,
第9天,形容词与副词,性质形容词①,9,easy,adj.,容易的,,,
第9天,形容词与副词,性质形容词①,10,difficult,adj.,困难的,,,
第9天,形容词与副词,性质形容词②,1,hard,adj.,困难的；硬的,,,
第9天,形容词与副词,性质形容词②,2,heavy,adj.,重的,,,
第9天,形容词与副词,性质形容词②,3,light,adj.,轻的,,,
第9天,形容词与副词,性质形容词②,4,fast,adj./adv.,快的；快地,,,
第9天,形容词与副词,性质形容词②,5,slow,adj.,慢的,,,
第9天,形容词与副词,性质形容词②,6,strong,adj.,强壮的,,,
第9天,形容词与副词,性质形容词②,7,weak,adj.,虚弱的,,,
第9天,形容词与副词,性质形容词②,8,clean,adj.,干净的,,,
第9天,形容词与副词,性质形容词②,9,dirty,adj.,脏的,,,
第9天,形容词与副词,性质形容词②,10,quiet,adj.,安静的,,,
第9天,形容词与副词,程度副词,1,very,adv.,非常,,,
第9天,形容词与副词,程度副词,2,really,adv.,真正地,,,
第9天,形容词与副词,程度副词,3,quite,adv.,相当,,,
第9天,形容词与副词,程度副词,4,too,adv.,太；也,,,
第9天,形容词与副词,程度副词,5,so,adv.,如此,,,
第9天,形容词与副词,程度副词,6,much,adv.,非常,,,
第9天,形容词与副词,程度副词,7,more,adv.,更,,,
第9天,形容词与副词,程度副词,8,most,adv.,最,,,
第9天,形容词与副词,程度副词,9,about,adv.,大约,,,
第9天,形容词与副词,程度副词,10,only,adv.,仅仅,,,
第9天,形容词与副词,频度与时间副词,1,always,adv.,总是,,,
第9天,形容词与副词,频度与时间副词,2,usually,adv.,通常,,,
第9天,形容词与副词,频度与时间副词,3,often,adv.,经常,,,
第9天,形容词与副词,频度与时间副词,4,sometimes,adv.,有时,,,
第9天,形容词与副词,频度与时间副词,5,never,adv.,从不,,,
第9天,形容词与副词,频度与时间副词,6,now,adv.,现在,,,
第9天,形容词与副词,频度与时间副词,7,then,adv.,然后,,,
第9天,形容词与副词,频度与时间副词,8,soon,adv.,很快,,,
第9天,形容词与副词,频度与时间副词,9,early,adv.,早,,,
第9天,形容词与副词,频度与时间副词,10,late,adv.,晚,,,
第9天,形容词与副词,疑问词,1,what,pron.,什么,,,
第9天,形容词与副词,疑问词,2,who,pron.,谁,,,
第9天,形容词与副词,疑问词,3,where,adv.,哪里,,,
第9天,形容词与副词,疑问词,4,when,adv.,何时,,,
第9天,形容词与副词,疑问词,5,why,adv.,为什么,,,
第9天,形容词与副词,疑问词,6,how,adv.,怎样,,,
第9天,形容词与副词,疑问词,7,which,pron.,哪个,,,
第9天,形容词与副词,疑问词,8,whose,pron.,谁的,,,
第9天,形容词与副词,疑问词,9,what time,phr.,几点,,,
第9天,形容词与副词,疑问词,10,how many,phr.,多少,,,
第9天,形容词与副词,基础功能词,1,yes,adv.,是,,,
第9天,形容词与副词,基础功能词,2,no,adv.,不,,,
第9天,形容词与副词,基础功能词,3,please,adv.,请,,,
第9天,形容词与副词,基础功能词,4,thank,v.,感谢,,,
第9天,形容词与副词,基础功能词,5,sorry,adj.,抱歉的,,,
第9天,形容词与副词,基础功能词,6,hello,interj.,你好,,,
第9天,形容词与副词,基础功能词,7,goodbye,interj.,再见,,,
第9天,形容词与副词,基础功能词,8,excuse me,phr.,打扰一下,,,
第9天,形容词与副词,基础功能词,9,OK,adj.,好的,,,
第9天,形容词与副词,基础功能词,10,welcome,adj./v.,欢迎,,,
第10天,娱乐与综合,运动,1,sport,n.,运动,,,
第10天,娱乐与综合,运动,2,football,n.,足球,,,
第10天,娱乐与综合,运动,3,basketball,n.,篮球,,,
第10天,娱乐与综合,运动,4,volleyball,n.,排球,,,
第10天,娱乐与综合,运动,5,table tennis,n.,乒乓球,,,
第10天,娱乐与综合,运动,6,badminton,n.,羽毛球,,,
第10天,娱乐与综合,运动,7,tennis,n.,网球,,,
第10天,娱乐与综合,运动,8,swimming,n.,游泳,,,
第10天,娱乐与综合,运动,9,running,n.,跑步,,,
第10天,娱乐与综合,运动,10,game,n.,游戏；比赛,,,
第10天,娱乐与综合,爱好与娱乐,1,hobby,n.,爱好,,,
第10天,娱乐与综合,爱好与娱乐,2,dance,v./n.,跳舞；舞蹈,,,
第10天,娱乐与综合,爱好与娱乐,3,paint,v.,绘画,,,
第10天,娱乐与综合,爱好与娱乐,4,story,n.,故事,,,
第10天,娱乐与综合,爱好与娱乐,5,film,n.,电影,,,
第10天,娱乐与综合,爱好与娱乐,6,TV,n.,电视,,,
第10天,娱乐与综合,爱好与娱乐,7,radio,n.,收音机,,,
第10天,娱乐与综合,爱好与娱乐,8,computer game,phr.,电脑游戏,,,
第10天,娱乐与综合,爱好与娱乐,9,card,n.,卡片,,,
第10天,娱乐与综合,爱好与娱乐,10,chess,n.,国际象棋,,,
第10天,娱乐与综合,节日,1,festival,n.,节日,,,
第10天,娱乐与综合,节日,2,Christmas,n.,圣诞节,,,
第10天,娱乐与综合,节日,3,New Year,n.,新年,,,
第10天,娱乐与综合,节日,4,birthday,n.,生日,,,
第10天,娱乐与综合,节日,5,party,n.,聚会,,,
第10天,娱乐与综合,节日,6,gift,n.,礼物,,,
第10天,娱乐与综合,节日,7,present,n.,礼物,,,
第10天,娱乐与综合,节日,8,candle,n.,蜡烛,,,
第10天,娱乐与综合,节日,9,card,n.,贺卡(再次),,,
第10天,娱乐与综合,节日,10,Spring Festival,n.,春节,,,
第10天,娱乐与综合,综合名词,1,thing,n.,东西,,,
第10天,娱乐与综合,综合名词,2,place,n.,地方,,,
第10天,娱乐与综合,综合名词,3,people,n.,人们(再次),,,
第10天,娱乐与综合,综合名词,4,idea,n.,主意,,,
第10天,娱乐与综合,综合名词,5,way,n.,方法；路,,,
第10天,娱乐与综合,综合名词,6,problem,n.,问题,,,
第10天,娱乐与综合,综合名词,7,news,n.,新闻,,,
第10天,娱乐与综合,综合名词,8,message,n.,消息,,,
第10天,娱乐与综合,综合名词,9,letter,n.,信,,,
第10天,娱乐与综合,综合名词,10,email,n.,电子邮件,,,
第10天,娱乐与综合,综合动词,1,begin,v.,开始(再次),,,
第10天,娱乐与综合,综合动词,2,agree,v.,同意,,,
第10天,娱乐与综合,综合动词,3,choose,v.,选择,,,
第10天,娱乐与综合,综合动词,4,decide,v.,决定,,,
第10天,娱乐与综合,综合动词,5,feel,v.,感觉,,,
第10天,娱乐与综合,综合动词,6,forget,v.,忘记,,,
第10天,娱乐与综合,综合动词,7,remember,v.,记得,,,
第10天,娱乐与综合,综合动词,8,show,v.,展示,,,
第10天,娱乐与综合,综合动词,9,send,v.,发送,,,
第10天,娱乐与综合,综合动词,10,receive,v.,收到,,,
第10天,娱乐与综合,综合其他,1,word,n.,单词(再次),,,
第10天,娱乐与综合,综合其他,2,German,adj.,德国的,,,
第10天,娱乐与综合,综合其他,3,Japanese,adj.,日本的,,,
第10天,娱乐与综合,综合其他,4,American,adj.,美国的,,,
第10天,娱乐与综合,综合其他,5,foreign,adj.,外国的,,,
第10天,娱乐与综合,综合其他,6,world,n.,世界,,,
第10天,娱乐与综合,综合其他,7,people,n.,民族(再次),,,
第10天,娱乐与综合,综合其他,8,life,n.,生活,,,
第10天,娱乐与综合,综合其他,9,dream,n.,梦想,,,
第10天,娱乐与综合,综合其他,10,future,n.,未来,,,
